iter	Passed	Remaining
0	2	198
1	3	181
2	5	176
3	6	163
4	8	163
5	10	160
6	11	156
7	13	155
8	15	152
9	16	149
10	18	147
11	19	145
12	21	142
13	23	141
14	24	139
15	26	136
16	27	135
17	29	134
18	31	132
19	32	131
20	34	128
21	35	126
22	37	124
23	38	122
24	40	120
25	41	118
26	43	117
27	44	115
28	46	113
29	47	111
30	49	110
31	50	108
32	52	106
33	53	104
34	55	103
35	57	101
36	58	99
37	60	98
38	61	96
39	63	94
40	64	92
41	65	90
42	66	88
43	68	86
44	69	84
45	70	83
46	72	82
47	74	80
48	75	79
49	77	77
50	78	75
51	80	74
52	81	72
53	83	71
54	84	69
55	85	67
56	87	65
57	88	64
58	90	62
59	92	61
60	93	59
61	95	58
62	96	56
63	98	55
64	99	53
65	101	52
66	102	50
67	104	49
68	105	47
69	107	45
70	108	44
71	110	42
72	111	41
73	113	39
74	115	38
75	116	36
76	117	35
77	119	33
78	120	32
79	122	30
80	123	29
81	125	27
82	126	25
83	127	24
84	129	22
85	131	21
86	132	19
87	134	18
88	135	16
89	136	15
90	138	13
91	139	12
92	141	10
93	142	9
94	144	7
95	145	6
96	147	4
97	148	3
98	150	1
99	151	0
